skl_trade|Торговля
skl_trade_desc|С каждым новым уровнем этого навыка торговые наценки уменьшаются на 5%% (навык отряда).
skl_leadership|Лидерство
skl_leadership_desc|С каждым новым уровнем этого навыка количество людей, которыми вы можете командовать, увеличивается на 5, повышается боевой дух, а расходы на армию снижаются на 5%%.
skl_prisoner_management|Содержание пленных
skl_prisoner_management_desc|С каждым новым уровнем этого навыка максимальное число пленных, которых вы можете захватить, увеличивается на %d.
skl_reserved_1|Зарезервированное умение 1
skl_reserved_1_desc|Это умение зарезервировано.
skl_reserved_2|Зарезервированное умение 2
skl_reserved_2_desc|Это умение зарезервировано.
skl_reserved_3|Зарезервированное умение 3
skl_reserved_3_desc|Это умение зарезервировано.
skl_reserved_4|Зарезервированное умение 4
skl_reserved_4_desc|Это умение зарезервировано.
skl_persuasion|Убеждение
skl_persuasion_desc|Это умение помогает вам склонять людей на свою сторону.
skl_engineer|Инженерия
skl_engineer_desc|Это умение помогает вам строить осадные машины и укреплять ваше имение (навык отряда).
skl_first_aid|Первая помощь
skl_first_aid_desc|Каждый новый уровень этого навыка восстанавливает у героев 5%% здоровья, потерянного при выполнении задания (навык отряда).
skl_surgery|Хирургия
skl_surgery_desc|С каждым новым уровнем этого навыка каждый член отряда получает 4%% шанс выжить при получении смертельного ранения (навык отряда).
skl_wound_treatment|Перевязка ран
skl_wound_treatment_desc|С каждым новым уровнем этого навыка скорость излечения отряда возрастает на 20%% (навык отряда).
skl_inventory_management|Логистика
skl_inventory_management_desc|С каждым новым уровнем этого навыка вместительность вашего инвентаря увеличивается на 6 пунктов.
skl_spotting|Зоркость
skl_spotting_desc|С каждым новым уровнем этого навыка поле зрения отряда увеличивается на 10%% (навык отряда).
skl_pathfinding|Поиск пути
skl_pathfinding_desc|С каждым новым уровнем этого навыка скорость передвижения отряда по карте увеличивается на 3%% (навык отряда).
skl_tactics|Тактика
skl_tactics_desc|Каждый четный уровень этого навыка повышает начальное преимущество в бою на 1 (навык отряда).
skl_tracking|Слежение
skl_tracking_desc|Слежение становится более информативным (навык отряда).
skl_trainer|Обучение
skl_trainer_desc|Раз в день каждый герой отдает немного опыта тем членам отряда, чьи навыки хуже геройских. Количество получаемого опыта: 0, 4, 10, 16, 23, 30, 38, 46, 55, 65, 80.
skl_reserved_5|Зарезервированное умение 5
skl_reserved_5_desc|Это умение зарезервировано.
skl_reserved_6|Зарезервированное умение 6
skl_reserved_6_desc|Это умение зарезервировано.
skl_reserved_7|Зарезервированное умение 7
skl_reserved_7_desc|Это умение зарезервировано.
skl_reserved_8|Зарезервированное умение 8
skl_reserved_8_desc|Это умение зарезервировано.
skl_looting|Сбор трофеев
skl_looting_desc|С каждым новым уровнем этого навыка количество получаемой добычи будет увеличиваться на 10%% (навык отряда).
skl_horse_archery|Стрельба верхом
skl_horse_archery_desc|При езде верхом позволяет стрелять точнее, наносить больше урона и реже падать из седла.
skl_riding|Верховая езда
skl_riding_desc|Позволяет ездить на более породистых лошадях и увеличивает скорость езды и верткость лошади.
skl_athletics|Атлетика
skl_athletics_desc|Увеличивает скорость бега.
skl_shield|Владение щитом
skl_shield_desc|Снижает урон, наносимый по щиту (на 8%% с каждым новым уровнем), увеличивает скорость щита и зону его покрытия.
skl_weapon_master|Владение оружием
skl_weapon_master_desc|Облегчает обучение и повышает предел владения оружием. Пределы бывают следующие: 60, 100, 140, 180, 220, 260, 300, 340, 380, 420.
skl_reserved_9|Зарезервированное умение 9
skl_reserved_9_desc|Это умение зарезервировано.
skl_reserved_10|Зарезервированное умение 10
skl_reserved_10_desc|Это умение зарезервировано.
skl_reserved_11|Зарезервированное умение 11
skl_reserved_11_desc|Это умение зарезервировано.
skl_reserved_12|Зарезервированное умение 12
skl_reserved_12_desc|Это умение зарезервировано.
skl_reserved_13|Зарезервированное умение 13
skl_reserved_13_desc|Это умение зарезервировано.
skl_power_draw|Мощный выстрел
skl_power_draw_desc|Позволяет персонажу пользоваться мощными луками. С каждым новым уровнем этого навыка (максимум - 4 плюс параметр мощного выстрела у самого лука) урон, наносимый луком, увеличивается на 14%%.
skl_power_throw|Метание гранат
skl_power_throw_desc|С каждым новым уровнем этого навыка урон, наносимый метательным оружием, увеличивается на 10%%. Кроме того, радиус поражения увеличивается на 1 шаг каждые 2 уровня. 
skl_power_strike|Мощный удар
skl_power_strike_desc|С каждым новым уровнем этого навыка урон, наносимый оружием ближнего боя, увеличивается на 8%%.
skl_ironflesh|Железная кожа
skl_ironflesh_desc|С каждым новым уровнем этого навыка запас здоровья увеличивается на 2.
skl_reserved_14|Зарезервированное умение 14
skl_reserved_14_desc|Это умение зарезервировано.
skl_reserved_15|Зарезервированное умение 15
skl_reserved_15_desc|Это умение зарезервировано.
skl_reserved_16|Зарезервированное умение 16
skl_reserved_16_desc|Это умение зарезервировано.
skl_reserved_17|Зарезервированное умение 17
skl_reserved_17_desc|Это умение зарезервировано.
skl_reserved_18|Зарезервированное умение 18
skl_reserved_18_desc|Это умение зарезервировано.
